时间,粉丝数,上涨数量(距上次),上涨率(距上次),上涨数量(距第一次),上涨率(距第一次)
Mon Jan 27 2020 06:55:17 GMT+0800 (中国标准时间),2885888,55,0.00001905825867116118,51886,0.01797921471657944
Mon Jan 27 2020 06:45:16 GMT+0800 (中国标准时间),2885833,41,0.00001420733632195626,51831,0.01796049875373939
Mon Jan 27 2020 06:35:16 GMT+0800 (中国标准时间),2885792,38,0.00001316796220933456,51790,0.017946546390037812
Mon Jan 27 2020 06:25:16 GMT+0800 (中国标准时间),2885754,52,0.000018019553988316397,51752,0.017933614576987503
Mon Jan 27 2020 06:15:15 GMT+0800 (中国标准时间),2885702,39,0.000013514909023870101,51700,0.017915917859848314
Mon Jan 27 2020 06:05:15 GMT+0800 (中国标准时间),2885663,50,0.00001732704061423666,51661,0.0179026449034416
Mon Jan 27 2020 05:55:15 GMT+0800 (中国标准时间),2885613,48,0.00001663424721194422,51611,0.01788562776782611
Mon Jan 27 2020 05:45:14 GMT+0800 (中国标准时间),2885565,61,0.000021139707474965908,51563,0.017869290762814214
Mon Jan 27 2020 05:35:14 GMT+0800 (中国标准时间),2885504,47,0.00001628831566339884,51502,0.017848528368007807
Mon Jan 27 2020 05:25:14 GMT+0800 (中国标准时间),2885457,69,0.000023913023136369732,51455,0.0178325305142305
Mon Jan 27 2020 05:15:14 GMT+0800 (中国标准时间),2885388,88,0.000030498497948976013,51386,0.017809043359160014
Mon Jan 27 2020 05:05:13 GMT+0800 (中国标准时间),2885300,70,0.000024260908744324682,51298,0.017779087096662392
Mon Jan 27 2020 04:55:13 GMT+0800 (中国标准时间),2885230,95,0.00003292631783254714,51228,0.01775525694658658
Mon Jan 27 2020 04:45:13 GMT+0800 (中国标准时间),2885135,113,0.000039166278181090316,51133,0.01772291417905921
Mon Jan 27 2020 04:35:12 GMT+0800 (中国标准时间),2885022,83,0.00002876927801590421,51020,0.017684440534595575
Mon Jan 27 2020 04:25:12 GMT+0800 (中国标准时间),2884939,96,0.000033276266846543375,50937,0.017656179212108124
Mon Jan 27 2020 04:15:12 GMT+0800 (中国标准时间),2884843,106,0.00003674376733846521,50841,0.017623489389197264
Mon Jan 27 2020 04:05:11 GMT+0800 (中国标准时间),2884737,243,0.00008423644859132739,50735,0.017587391848892985
Mon Jan 27 2020 03:55:11 GMT+0800 (中国标准时间),2884494,327,0.00011336477038953799,50492,0.01750462992816071
Mon Jan 27 2020 03:45:11 GMT+0800 (中国标准时间),2884167,191,0.00006622362713393503,50165,0.01739323693808299
Mon Jan 27 2020 03:35:10 GMT+0800 (中国标准时间),2883976,235,0.00008148472802824989,49974,0.017328160844611744
Mon Jan 27 2020 03:25:10 GMT+0800 (中国标准时间),2883741,250,0.00008669294503216482,49739,0.017248081571819382
Mon Jan 27 2020 03:15:09 GMT+0800 (中国标准时间),2883491,291,0.0001009193370119761,49489,0.017162876527098577
