时间,粉丝数,上涨数量(距上次),上涨率(距上次),上涨数量(距第一次),上涨率(距第一次)
Mon Jan 27 2020 06:55:17 GMT+0800 (中国标准时间),2885888,55,0.00001905825867116118,2376418,0.8234616173600638
Mon Jan 27 2020 06:45:16 GMT+0800 (中国标准时间),2885833,41,0.00001420733632195626,2376363,0.8234582527817791
Mon Jan 27 2020 06:35:16 GMT+0800 (中国标准时间),2885792,38,0.00001316796220933456,2376322,0.8234557445581664
Mon Jan 27 2020 06:25:16 GMT+0800 (中国标准时间),2885754,52,0.000018019553988316397,2376284,0.8234534197994701
Mon Jan 27 2020 06:15:15 GMT+0800 (中国标准时间),2885702,39,0.000013514909023870101,2376232,0.8234502384515102
Mon Jan 27 2020 06:05:15 GMT+0800 (中国标准时间),2885663,50,0.00001732704061423666,2376193,0.8234478523652969
Mon Jan 27 2020 05:55:15 GMT+0800 (中国标准时间),2885613,48,0.00001663424721194422,2376143,0.8234447931860579
Mon Jan 27 2020 05:45:14 GMT+0800 (中国标准时间),2885565,61,0.000021139707474965908,2376095,0.8234418562742478
Mon Jan 27 2020 05:35:14 GMT+0800 (中国标准时间),2885504,47,0.00001628831566339884,2376034,0.8234381238078339
Mon Jan 27 2020 05:25:14 GMT+0800 (中国标准时间),2885457,69,0.000023913023136369732,2375987,0.8234352478654161
Mon Jan 27 2020 05:15:14 GMT+0800 (中国标准时间),2885388,88,0.000030498497948976013,2375918,0.8234310255674453
Mon Jan 27 2020 05:05:13 GMT+0800 (中国标准时间),2885300,70,0.000024260908744324682,2375830,0.8234256403146987
Mon Jan 27 2020 04:55:13 GMT+0800 (中国标准时间),2885230,95,0.00003292631783254714,2375760,0.8234213563563391
Mon Jan 27 2020 04:45:13 GMT+0800 (中国标准时间),2885135,113,0.000039166278181090316,2375665,0.8234155420803533
Mon Jan 27 2020 04:35:12 GMT+0800 (中国标准时间),2885022,83,0.00002876927801590421,2375552,0.8234086256534612
Mon Jan 27 2020 04:25:12 GMT+0800 (中国标准时间),2884939,96,0.000033276266846543375,2375469,0.8234035451009536
Mon Jan 27 2020 04:15:12 GMT+0800 (中国标准时间),2884843,106,0.00003674376733846521,2375373,0.8233976684346427
Mon Jan 27 2020 04:05:11 GMT+0800 (中国标准时间),2884737,243,0.00008423644859132739,2375267,0.8233911791612198
Mon Jan 27 2020 03:55:11 GMT+0800 (中国标准时间),2884494,327,0.00011336477038953799,2375024,0.8233763010080798
Mon Jan 27 2020 03:45:11 GMT+0800 (中国标准时间),2884167,191,0.00006622362713393503,2374697,0.8233562758328488
Mon Jan 27 2020 03:35:10 GMT+0800 (中国标准时间),2883976,235,0.00008148472802824989,2374506,0.8233445770699895
Mon Jan 27 2020 03:25:10 GMT+0800 (中国标准时间),2883741,250,0.00008669294503216482,2374271,0.823330181177852
